"date","value"
2000-04-01,22.51
2000-05-01,26.60
2000-06-01,28.49
2000-07-01,27.26
2000-08-01,28.33
2000-09-01,31.34
2000-10-01,30.50
2000-11-01,30.93
2000-12-01,23.25
2001-01-01,24.02
2001-02-01,25.92
2001-03-01,23.82
2001-04-01,24.82
2001-05-01,26.95
2001-06-01,26.63
2001-07-01,23.99
2001-08-01,25.01
2001-09-01,24.79
2001-10-01,20.05
2001-11-01,18.24
2001-12-01,18.24
2002-01-01,18.92
2002-02-01,19.53
2002-03-01,23.31
2002-04-01,25.03
2002-05-01,24.99
2002-06-01,24.05
2002-07-01,25.18
2002-08-01,25.86
2002-09-01,27.50
2002-10-01,26.90
2002-11-01,23.68
2002-12-01,27.11
2003-01-01,29.59
2003-02-01,31.31
2003-03-01,28.83
2003-04-01,24.21
2003-05-01,24.99
2003-06-01,26.43
2003-07-01,27.46
2003-08-01,28.66
2003-09-01,26.27
2003-10-01,28.45
2003-11-01,28.23
2003-12-01,28.97
2004-01-01,30.00
2004-02-01,29.65
2004-03-01,32.21
2004-04-01,32.37
2004-05-01,36.08
2004-06-01,34.16
2004-07-01,36.35
2004-08-01,40.52
2004-09-01,39.15
2004-10-01,43.38
2004-11-01,38.90
2004-12-01,36.82
2005-01-01,40.96
2005-02-01,42.67
2005-03-01,49.27
2005-04-01,49.43
2005-05-01,47.00
2005-06-01,52.72
2005-07-01,55.01
2005-08-01,60.05
2005-09-01,59.74
2005-10-01,56.28
2005-11-01,53.14
2005-12-01,55.05
2006-01-01,60.54
2006-02-01,58.95
2006-03-01,60.01
2006-04-01,67.06
2006-05-01,67.22
2006-06-01,66.90
2006-07-01,71.29
2006-08-01,70.78
2006-09-01,60.93
2006-10-01,57.27
2006-11-01,57.79
2006-12-01,60.34
2007-01-01,52.53
2007-02-01,56.53
2007-03-01,60.26
2007-04-01,65.48
2007-05-01,65.70
2007-06-01,68.10
2007-07-01,72.58
2007-08-01,68.98
2007-09-01,74.78
2007-10-01,79.33
2007-11-01,89.11
2007-12-01,87.92
2008-01-01,89.52
2008-02-01,92.37
2008-03-01,99.76
2008-04-01,105.72
2008-05-01,120.91
2008-06-01,129.72
2008-07-01,132.47
2008-08-01,113.05
2008-09-01,96.81
2008-10-01,69.12
2008-11-01,50.91
2008-12-01,40.61
2009-01-01,43.99
2009-02-01,43.22
2009-03-01,46.02
2009-04-01,50.14
2009-05-01,58.00
2009-06-01,69.12
2009-07-01,64.82
2009-08-01,71.98
2009-09-01,67.70
2009-10-01,73.06
2009-11-01,77.39
2009-12-01,75.02
2010-01-01,76.61
2010-02-01,73.69
2010-03-01,78.02
2010-04-01,84.08
2010-05-01,76.16
2010-06-01,74.33
2010-07-01,73.54
2010-08-01,75.13
2010-09-01,76.09
2010-10-01,81.11
2010-11-01,84.26
2010-12-01,89.77
2011-01-01,93.87
2011-02-01,101.62
2011-03-01,110.71
2011-04-01,118.64
2011-05-01,110.80
2011-06-01,109.99
2011-07-01,112.53
2011-08-01,106.94
2011-09-01,108.79
2011-10-01,106.11
2011-11-01,109.62
2011-12-01,107.19
2012-01-01,110.47
2012-02-01,117.67
2012-03-01,123.61
2012-04-01,117.97
2012-05-01,108.05
2012-06-01,94.51
2012-07-01,100.34
2012-08-01,110.07
2012-09-01,111.77
2012-10-01,109.79
2012-11-01,107.87
2012-12-01,107.28
2013-01-01,109.55
2013-02-01,112.68
2013-03-01,106.45
2013-04-01,101.57
2013-05-01,101.10
2013-06-01,101.11
2013-07-01,104.86
2013-08-01,108.45
2013-09-01,109.47
2013-10-01,107.37
2013-11-01,106.55
2013-12-01,108.72
2014-01-01,105.29
2014-02-01,106.19
2014-03-01,105.30
2014-04-01,105.56
2014-05-01,106.85
2014-06-01,109.05
2014-07-01,106.30
2014-08-01,101.89
2014-09-01,96.96
2014-10-01,86.83
2014-11-01,77.58
2014-12-01,61.21
2015-01-01,46.59
2015-02-01,56.43
2015-03-01,55.18
2015-04-01,59.07
2015-05-01,63.82
2015-06-01,61.75
2015-07-01,56.30
2015-08-01,47.33
2015-09-01,46.10
2015-10-01,46.68
2015-11-01,42.50
2015-12-01,35.68
2016-01-01,28.08
2016-02-01,30.53
2016-03-01,36.42
2016-04-01,39.88
2016-05-01,45.01
2016-06-01,46.96
2016-07-01,43.52
2016-08-01,44.38
2016-09-01,44.48
2016-10-01,49.25
2016-11-01,44.46
2016-12-01,52.74
2017-01-01,54.08
2017-02-01,54.86
2017-03-01,51.47
2017-04-01,52.49
2017-05-01,50.57
2017-06-01,46.56
2017-07-01,47.86
2017-08-01,50.63
2017-09-01,54.52
2017-10-01,56.06
2017-11-01,61.32
2017-12-01,62.29
2018-01-01,67.06
2018-02-01,63.54
2018-03-01,63.80
2018-04-01,69.22
2018-05-01,75.25
2018-06-01,73.83
2018-07-01,73.47
2018-08-01,72.53
2018-09-01,77.88
2018-10-01,80.08
2018-11-01,65.40
2018-12-01,57.77
2019-01-01,59.27
2019-02-01,64.53
2019-03-01,66.74
2019-04-01,71.00
2019-05-01,70.01
2019-06-01,62.37
2019-07-01,63.63
2019-08-01,59.35
2019-09-01,61.72
2019-10-01,59.70
2019-11-01,62.53
2019-12-01,65.50
2020-01-01,64.31
2020-02-01,54.63
2020-03-01,33.36
